,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,NGDPRSAXDCIDQ,CPALTT01IDM659N,RBIDBIS,WUIIDN,IR3TIB01IDM156N,a,b,A,B,s,R_y
20,0.0954656181696375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2081359337470739,0.0,0.0,0.0,0.52100006533537,1.0,1.0,1.0,3.0,10.0,0.75
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0790937864008058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,20.0,0.25
22,0.1111183670786506,0.0250999797882485,0.0874329691025421,-0.1363383757669484,0.1014275706978786,0.2391778146997309,-0.0319454698837187,0.0818394291747041,0.1065301853918421,0.0783937076251389,0.0234970770371164,0.1311186105896318,-0.0157812843618089,-0.1389400456440065,-0.0613126666688535,-0.1275646991849405,0.0514907129405465,-0.1563589082189352,0.0,-0.0213833818681457,0.1189656692514359,0.0257891808258977,0.0022923337013589,0.0410572388426544,0.0629624064991557,0.0369990924517736,-0.1821003925519629,-0.0370536725979947,0.0140301894013645,-0.1596845057987204,0.0048089410813644,-0.0544552130347107,0.0150743444336662,0.0246891315655458,0.1575514387536314,0.0228379377781055,-0.1361119508404492,0.2020378313333896,1.0,1.0,1.0,3.0,20.0,0.5
23,0.0930779760669679,0.0,-0.0996537075439306,-0.2298412836336751,0.0301258896166392,0.0007952074091111,-0.0218729702335113,0.0793698015700756,-0.130658195379387,0.0605157743085949,-0.0873900126903743,0.0034127076665164,-0.1392061087031723,0.0502233700712053,0.0,0.1851818151195337,-0.1161709184678304,0.0,0.0,-0.0701301508186006,-0.0876889398737218,0.0,0.0948808312845517,0.0078027640733644,0.250353403037228,0.1800044104621227,-0.0024480708655352,0.0,-0.0558333837109807,0.049126910200334,-0.1736328431568769,0.0992565906106426,0.2018361239997457,0.0859002313266661,0.0479758804520392,-0.0399271062673789,-0.0901898915479055,0.198598402910458,1.0,1.0,1.0,3.0,20.0,0.75
24,-0.0675993169913596,0.0556661172226605,0.0179960956622823,0.005201636528285,0.149692597303389,0.0264816251207932,0.1047805181546439,0.0855400289789689,0.0164006976089637,0.0210998251439827,0.0106809033735386,-0.1229412716026587,0.2230879228942935,-0.1443246571993036,0.1422018493064507,-0.0930192976620919,-0.0589177389634657,0.0383149154143578,-0.0509861323923518,0.0793616740402306,0.0833418137135846,-0.001551916731074,-0.087468857297433,0.0180492921680068,-0.0390261286044936,-0.098455776310578,0.0627782952143038,0.0498527730913637,0.0534686077228694,-0.151764953278648,0.010753474206921,0.0440907021898894,-0.0943775955482332,0.059513454322356,0.1029117735186857,-0.018571872938154,-0.1114905451870599,0.053376451633627,1.0,1.0,1.0,3.0,30.0,0.25
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5002848952577628,1.0,1.0,1.0,3.0,30.0,0.5
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3011637185208985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5187156894913298,1.0,1.0,1.0,3.0,30.0,0.75
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4204161929741152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,10.0,0.25
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1324726760752276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,10.0,0.5
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2510628325538565,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,10.0,0.75
