,T10Y2Y,BAA10Y,T10YFF,TB3SMFFM,BAAFF,MORTGAGE30US,DFF,UNRATE,CPIAUCSL,WM2NS,T10Y3M,BAMLH0A0HYM2,DGS10,MSPUS,CORESTICKM159SFRBATL,WM1NS,GFDEGDQ188S,VIXCLS,BAMLHYH0A0HYM2TRIV,BAMLCC0A0CMTRIV,BAMLHE00EHYITRIV,BAMLHYH0A3CMTRIV,BAMLCC1A013YTRIV,BAMLCC0A1AAATRIV,MEDCPIM158SFRBCLE,MICH,EXPINF10YR,DPCCRV1Q225SBEA,PCETRIM12M159SFRBDAL,EXPINF2YR,EXPINF1YR,STICKCPIM157SFRBATL,EXPINF30YR,CPALTT01ZAM657N,LRUN64TTZAQ156S,QZAR368BIS,NGDPRSAXDCZAQ,IR3TIB01ZAM156N,IRLTLT01ZAM156N,a,b,A,B,s,R_y
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7382033732072577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,10.0,0.75
21,0.0,0.0,0.0,0.1631821805232512,0.0,0.0,0.5283528657499718,-0.2884642984085612,0.0,0.0,0.8533663488500293,0.5380884055910955,0.0,0.0,0.6743146594038453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374332035338125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,20.0,0.25
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.006354047812163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3763766923677618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,20.0,0.5
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1066256017831517,0.0,0.0,0.0,0.0,0.0,0.0,0.7443583753757053,0.0,0.1213991400466239,0.0,0.0,0.0,0.3236008559027649,0.0,0.0479293856326844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029190401966993,1.0,1.0,1.0,3.0,20.0,0.75
24,0.0,0.0,0.0074882854764386,0.0,0.5802616025174312,0.0,0.0,0.0,0.0,-0.1370957459081764,-0.2006390603628279,-0.0923292755121719,-0.2663803243995158,0.0,0.2048466691179333,0.0,0.0,0.0,-0.2993866531214436,0.0,0.0,0.0,0.0,0.9512791128519896,0.1683642289778176,0.0,0.0,0.44075378951089,0.0,0.4424090657400003,0.0546847651263112,0.0,0.0,0.4927423371750505,0.0,-0.1210383910768692,0.0,0.0,0.5350126687479435,1.0,1.0,1.0,3.0,30.0,0.25
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5256072636935978,0.457359071741111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9486336000497128,-0.1857087067228304,0.0,0.0,0.0,0.0,0.4520987447902782,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,30.0,0.5
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4999048257610306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4943551650411536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,30.0,0.75
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5269543490912434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4584181264213203,0.0,0.0,0.0,0.0,0.0,0.2982299877349003,0.0,1.0,1.0,2.0,1.0,10.0,0.25
28,0.0155230427667984,0.0,-0.1164433573639876,0.0,0.0928734159909612,0.0039761042374404,0.0774332658866897,0.0,0.0,0.0,0.0,0.0155765823477469,-0.0231241036752685,-0.1430349312669933,0.1162966917493252,-0.0705524416633232,0.0,-0.2435884929025103,0.0,-0.0123873359123062,0.0,0.0847021570785144,0.2047988624384734,0.0,0.0,0.0,0.0180538046141053,-0.1490233672126969,0.0,-0.0451802678191515,0.0808283342689643,0.2098112173403432,0.0,0.0,0.0,-0.2209058776444422,0.0,0.0,-0.0661388323318309,1.0,1.0,2.0,1.0,10.0,0.5
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1031698747291647,0.0,1.0,1.0,2.0,1.0,10.0,0.75
30,0.0,0.0,0.0,0.0,0.0,0.0,0.3631672534143406,0.0,0.0,0.0,0.0,-0.1000964371056054,0.0,0.2365256908411531,0.4512819404865416,0.0,0.0,0.0,0.0,0.0,-0.0846736978586062,0.0,0.0,0.0,0.0,0.1444542713323704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,20.0,0.25
31,0.1510118822632989,0.1146581356030976,-0.1147821232385517,-0.1947385935235882,-0.1797199423392564,-0.6973746592413659,0.6935300510661303,-0.5932037235849857,-0.1121842148467269,-0.0279181436905055,0.6566577440064584,0.2434809303484063,0.4290145931424534,-0.8233506550455831,0.6409493375995872,-0.1425914080011402,0.2987468467175779,0.0362913691301034,0.1762444408882312,-0.002562342532168,-0.3928023462795308,0.2606530490778397,0.3570397580519418,0.2940845194060507,-0.2850160724225022,0.0,0.1930245311712458,-0.1174573510636733,-0.1623066418815508,-0.2243316452384679,0.4124463811104464,0.0395309582855055,0.3224748086456376,0.1207343869857792,0.3474458044785732,-0.0559540178676629,-0.0947278880115959,0.1155077045481699,-0.6005526932415515,1.0,1.0,2.0,1.0,20.0,0.5
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5936065097465482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,20.0,0.75
33,-0.0759671019076021,0.0839622829459252,-0.0778119325453694,0.0,0.0473901747773306,-0.0315106805684752,-0.0486917998968257,-0.0701799086155652,0.0960223539913802,0.0490920238165705,-0.1565251780196631,0.0,0.1276054435225846,-0.1156641448154872,-0.0699487140646982,0.1379066534085603,-0.1105481838565271,0.0376280099841479,-0.0126462644460101,-0.0050168754254597,-0.0314782393546382,0.0695423270146641,0.0509372493607612,-0.0061372749707583,0.0449086688217514,0.1986237917742518,0.1802657073066211,-0.0568071497618731,0.0610232971008432,-0.1499618972320846,-0.0751567223782525,-0.0309485455418742,0.089265894890692,-0.0589594731884319,-0.1285679027239894,0.0409584058161151,0.0517237861205821,0.0718675765761115,0.1290156290516627,1.0,1.0,2.0,1.0,30.0,0.25
